temp,time_delay
39.360000,1.85247e-11
39.520000,1.85262e-11
39.680000,1.85276e-11
39.840000,1.85290e-11
40.000000,1.85304e-11
40.160000,1.85319e-11
40.320000,1.85333e-11
40.480000,1.85347e-11
40.640000,1.85361e-11
40.800000,1.85375e-11
40.960000,1.85390e-11
41.120000,1.85404e-11
41.280000,1.85418e-11
41.440000,1.85432e-11
41.600000,1.85446e-11
41.760000,1.85460e-11
41.920000,1.85474e-11
42.080000,1.85488e-11
42.240000,1.85502e-11
42.400000,1.85516e-11
42.560000,1.85530e-11
42.720000,1.85544e-11
42.880000,1.85558e-11
43.040000,1.85572e-11
43.200000,1.85585e-11
43.360000,1.85599e-11
43.520000,1.85613e-11
43.680000,1.85627e-11
43.840000,1.85641e-11
44.000000,1.85654e-11
44.160000,1.85668e-11
44.320000,1.85682e-11
44.480000,1.85695e-11
44.640000,1.85709e-11
44.800000,1.85723e-11
44.960000,1.85736e-11
45.120000,1.85750e-11
45.280000,1.85764e-11
45.440000,1.85777e-11
45.600000,1.85791e-11
45.760000,1.85804e-11
45.920000,1.85818e-11
46.080000,1.85831e-11
46.240000,1.85845e-11
46.400000,1.85858e-11
46.560000,1.85871e-11
46.720000,1.85885e-11
46.880000,1.85898e-11
47.040000,1.85912e-11
47.200000,1.85925e-11
47.360000,1.85938e-11
47.520000,1.85952e-11
47.680000,1.85965e-11
47.840000,1.85978e-11
48.000000,1.85991e-11
48.160000,1.86004e-11
48.320000,1.86018e-11
48.480000,1.86031e-11
48.640000,1.86044e-11
48.800000,1.86057e-11
48.960000,1.86070e-11
49.120000,1.86083e-11
49.280000,1.86096e-11
49.440000,1.86109e-11
49.600000,1.86122e-11
49.760000,1.86135e-11
49.920000,1.86148e-11
50.080000,1.86161e-11
50.240000,1.86174e-11
50.400000,1.86187e-11
50.560000,1.86200e-11
50.720000,1.86213e-11
50.880000,1.86226e-11
51.040000,1.86239e-11
51.200000,1.86252e-11
51.360000,1.86264e-11
51.520000,1.86277e-11
51.680000,1.86290e-11
51.840000,1.86303e-11
52.000000,1.86316e-11
52.160000,1.86328e-11
52.320000,1.86341e-11
52.480000,1.86354e-11
52.640000,1.86366e-11
52.800000,1.86379e-11
52.960000,1.86391e-11
53.120000,1.86404e-11
53.280000,1.86417e-11
53.440000,1.86429e-11
53.600000,1.86442e-11
53.760000,1.86454e-11
53.920000,1.86467e-11
54.080000,1.86479e-11
54.240000,1.86492e-11
54.400000,1.86504e-11
54.560000,1.86516e-11
54.720000,1.86529e-11
54.880000,1.86541e-11
55.040000,1.86554e-11
55.200000,1.86566e-11
55.360000,1.86578e-11
55.520000,1.86591e-11
55.680000,1.86603e-11
55.840000,1.86615e-11
